rank,pt_cut,ak_radius,ca_radius,n_regimes,regime_coverage,global_objective,mean_score,mean_regret,median_regret,q90_regret,worst_regret,coverage_regret_le_0.02,coverage_regret_le_0.05,coverage_regret_le_0.1
225,300,1.0,1.4,18,1.0,0.8874894738628746,0.9917480872326022,0.5625458984248867,0.5463429532994604,0.7122489043100273,0.7468529992566529,0.0,0.0,0.0
226,320,0.6,0.8,18,1.0,0.8874936934468765,0.9255401422898366,0.49633795348212106,0.4676238569600202,0.7164808047890765,0.7634092050763461,0.0,0.0,0.0
227,200,1.0,1.6,18,1.0,0.888238704262498,0.957533385902832,0.5283311970951167,0.5788756915172666,0.7136291379613118,0.7561559049887188,0.0,0.0,0.0
228,320,1.2,1.4,18,1.0,0.8903074757568922,1.025997383146307,0.5967951943385915,0.5720041471066859,0.7068564582424615,0.7411086771722443,0.0,0.0,0.0
229,260,0.8,1.4,18,1.0,0.8910857327162925,0.9863759555184033,0.5571737667106876,0.5602583509140122,0.7235802699227859,0.7517922910386207,0.0,0.0,0.0
230,100,0.6,1.6,18,1.0,0.8913409020436698,0.900237333365947,0.4710351445582316,0.535627264802951,0.71513047045991,0.7735821159041119,0.0,0.0,0.05555555555555555
231,160,1.2,1.6,18,1.0,0.892794325515054,1.0168419352310802,0.5876397464233648,0.6321512309153168,0.7214274447349626,0.7458843889092128,0.0,0.0,0.0
232,100,1.0,1.2,18,1.0,0.893939462156412,1.0535720953001273,0.624369906492412,0.622209636178745,0.6909124425917903,0.737846985533309,0.0,0.0,0.0
233,220,1.2,1.6,18,1.0,0.8963395542403445,0.9955060761520002,0.5663038873442845,0.6025448633277473,0.7162564748378496,0.7547635824042734,0.0,0.0,0.0
234,280,1.4,1.4,18,1.0,0.9003868514597226,1.012892460451929,0.5836902716442132,0.5939201853747436,0.7028614975792846,0.7544642835486693,0.0,0.0,0.0
235,160,0.8,1.6,18,1.0,0.9006489936991633,0.9303454236263826,0.5011432348186672,0.5665917187358369,0.7187586694250849,0.7753631849944965,0.0,0.0,0.0
236,200,0.4,0.8,18,1.0,0.9010832151914719,0.8897915952131936,0.46058940640547813,0.392405465629977,0.733450537947662,0.7859358635901024,0.0,0.0,0.0
237,380,1.0,1.0,18,1.0,0.9014877910247598,0.9808477609611617,0.5516455721534461,0.5481926219884661,0.6850782422943652,0.7635763979863983,0.0,0.0,0.0
238,100,1.0,1.0,18,1.0,0.9055297158586506,1.0060757142468981,0.5768735254391826,0.5995307280045983,0.6597069395365421,0.7613113344988549,0.0,0.0,0.0
239,260,1.6,1.4,18,1.0,0.9057380660895447,1.0156111008506754,0.5864089120429598,0.6346714426677669,0.7313723446055036,0.7591358380788047,0.0,0.0,0.0
240,320,0.6,1.0,18,1.0,0.9110833427295751,0.998933609751384,0.5697314209436684,0.5742256196758256,0.7294190209501005,0.768650487493658,0.0,0.0,0.0
241,160,0.4,1.4,18,1.0,0.9112955292551738,1.0284053156993544,0.599203126891639,0.5978650877062768,0.7456648274531231,0.761494747532264,0.0,0.0,0.0
242,220,0.4,0.6,18,1.0,0.9114824252679352,0.8746578011830748,0.44545561237535936,0.33763085129386383,0.7597142307323945,0.8001185221740954,0.0,0.0,0.0
243,200,0.4,0.4,18,1.0,0.9119547784277462,0.7993425032525554,0.37014031444484,0.2516739999710257,0.712020735703321,0.8194196998165362,0.0,0.0,0.05555555555555555
